Time,S_H1,S_H2,S_H3,S_H4,S_A,E_H1,E_H2,E_H3,E_H4,E_A,I1_H1,I1_H2,I1_H3,I1_H4,I1_A,I2_H1,I2_H2,I2_H3,I2_H4,I2_A,R_H1,R_H2,R_H3,R_H4,R_A,P_V,S_V,G_V,E1_V,E2_V,E3_V,I_V
2042.39382012888,116609.264774203,0,0,10587.4474645834,127205.442797,0.0654319839297944,0,0,0.0518878647431016,0,2.1638503545778,0,0,2.12434859015618,0,1.06766725860962,0,0,1.19675491171067,0,1.12299865592185,0,0,0.937618593983775,0,137387.178447543,10511.1758558254,116699.009152812,0.0372842778178275,0.0288759276372138,0.0223675470184119,0.0768780024820163
2042.40017965695,116609.268340639,0,0,10587.4510698304,127205.442797,0.0653818268772339,0,0,0.0518480971020721,0,2.16444782361011,0,0,2.12255479615336,0,1.06796530461964,0,0,1.19576124327348,0,1.11858686214,0,0,0.936840577029512,0,137387.178447543,10513.8347230671,116696.350409859,0.0372539008068759,0.0288564051466788,0.0223506834891468,0.0768204767794678
2042.40653918501,116609.271855071,0,0,10587.4546712703,127205.442797,0.065331907639963,0,0,0.0518085196058257,0,2.16503233109819,0,0,2.12076331546267,0,1.06826337598947,0,0,1.19476827018233,0,1.11423977036893,0,0,0.936063168456388,0,137387.178447543,10515.5598176576,116694.625438556,0.0372246888587288,0.0288363839392612,0.0223340504486113,0.0767630552958736
2042.41354555417,116609.275667716,0,0,10587.4586345284,127205.442797,0.0652772821123002,0,0,0.0517652123312969,0,2.16566139353184,0,0,2.11879230124093,0,1.06859172626236,0,0,1.19367510987433,0,1.10952433839231,0,0,0.935207392138944,0,137387.178447543,10510.3564992447,116699.828886509,0.0372012654666724,0.0288104731589253,0.0223174418519666,0.0766994575843189
2042.42055192332,116609.27941952,0,0,10587.4625931873,127205.442797,0.0652228251289398,0,0,0.05172203996976,0,2.16627502747752,0,0,2.11682415861635,0,1.06891996354567,0,0,1.19258280431432,0,1.10488512023751,0,0,0.934352353807821,0,137387.178447543,10508.6554856422,116701.530032417,0.0371735521251186,0.0287864781658077,0.0222999998657021,0.0766363029706752
2042.42755829247,116609.283111677,0,0,10587.4665472791,127205.442797,0.0651684460064787,0,0,0.0516789303742017,0,2.16687339251699,0,0,2.11485892198617,0,1.06924801449774,0,0,1.19149135920107,0,1.10032092624057,0,0,0.933498053342056,0,137387.178447543,10514.4848721,116695.700784469,0.0371366015295676,0.028766587386961,0.022280757306875,0.0765738765275394
2042.43456466163,116609.286745166,0,0,10587.4704966796,127205.442797,0.0651143135163465,0,0,0.0516360171669576,0,2.16745658481367,0,0,2.11289657599821,0,1.06957580742962,0,0,1.19040078050359,0,1.09583058433282,0,0,0.932644490750038,0,137387.178447543,10517.9947621001,116692.191030797,0.0371025203472213,0.0287454513871696,0.0222620802309951,0.0765114423727887
2042.44129338545,116609.290180324,0,0,10587.4742850345,127205.442797,0.0650627328757029,0,0,0.0515951276282245,0,2.16800246579579,0,0,2.1110146944483,0,1.06989030250581,0,0,1.18935423996309,0,1.09158663130928,0,0,0.931825447435502,0,137387.178447543,10509.115603665,116701.07030955,0.0370848391125667,0.0287185218074301,0.0222470902791319,0.0764507259884244
2042.44802210927,116609.293563467,0,0,10587.478069135,127205.442797,0.0650112082508855,0,0,0.0515542829945244,0,2.16853462701721,0,0,2.10913553222635,0,1.07020443300962,0,0,1.18830850894305,0,1.08740872071901,0,0,0.93100708478332,0,137387.178447543,10506.073418816,116704.112619508,0.0370600176801821,0.0286947676931428,0.0222307112143965,0.0763905717198008
2042.45475083309,116609.296895637,0,0,10587.4818490453,127205.442797,0.0649596127612153,0,0,0.0515133825579622,0,2.16905320860486,0,0,2.10725912066225,0,1.07051813854977,0,0,1.18726359251362,0,1.08329585942519,0,0,0.930189402926275,0,137387.178447543,10515.1664963613,116695.019677217,0.0370203446839431,0.028677599623432,0.0222114351388375,0.0763314345804757
